source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[cell type]	characteristics[depletion]	characteristics[biological replicate]	Technology Type	Material Type	assay name	comment[label]	comment[file uri]	comment[fractionation method]	comment[technical replicate]	comment[fraction identifier]	comment[MS2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[cell line]
Sample 2	Homo sapiens	not available	not available	not available	not available	Fetus	Female	HEK293	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 11	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_293_5.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	5	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_293_5.raw	HEK293
Sample 2	Homo sapiens	not available	not available	not available	not available	Fetus	Female	HEK293	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 12	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_293_6.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	6	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_293_6.raw	HEK293
Sample 3	Homo sapiens	not available	Glioblastoma	not available	48Y	not available	Female	GAMG	not available	no depletion	1	proteomic profiling by mass spectrometry	cell	run 13	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_1.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	1	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_1.raw	GAMG
Sample 3	Homo sapiens	not available	Glioblastoma	not available	48Y	not available	Female	GAMG	not available	no depletion	1	proteomic profiling by mass spectrometry	cell	run 14	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_2.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	2	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_2.raw	GAMG
Sample 3	Homo sapiens	not available	Glioblastoma	not available	48Y	not available	Female	GAMG	not available	no depletion	1	proteomic profiling by mass spectrometry	cell	run 15	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_3.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	3	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_3.raw	GAMG
Sample 3	Homo sapiens	not available	Glioblastoma	not available	48Y	not available	Female	GAMG	not available	no depletion	1	proteomic profiling by mass spectrometry	cell	run 16	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_4.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	4	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_4.raw	GAMG
Sample 3	Homo sapiens	not available	Glioblastoma	not available	48Y	not available	Female	GAMG	not available	no depletion	1	proteomic profiling by mass spectrometry	cell	run 17	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_5.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	5	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_5.raw	GAMG
Sample 3	Homo sapiens	not available	Glioblastoma	not available	48Y	not available	Female	GAMG	not available	no depletion	1	proteomic profiling by mass spectrometry	cell	run 18	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100609_Velos1_TaGe_SA_GAMG_6.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	6	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100609_Velos1_TaGe_SA_GAMG_6.raw	GAMG
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	not available	30Y6M	not available	Female	HELA	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 19	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_1.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	1	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_1.raw	HELA
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	not available	30Y6M	not available	Female	HELA	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 20	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_2.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	2	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_2.raw	HELA
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	not available	30Y6M	not available	Female	HELA	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 21	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_3.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	3	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_3.raw	HELA
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	not available	30Y6M	not available	Female	HELA	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 22	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_4.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	4	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_4.raw	HELA
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	not available	30Y6M	not available	Female	HELA	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 23	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_5.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	5	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_5.raw	HELA
Sample 4	Homo sapiens	not available	Human papillomavirus-related endocervical adenocarcinoma	not available	30Y6M	not available	Female	HELA	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 24	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_Hela_6.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	6	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_Hela_6.raw	HELA
Sample 5	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	proteomic profiling by mass spectrometry	cell	run 25	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_1.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	1	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_1.raw	HepG2
Sample 5	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	proteomic profiling by mass spectrometry	cell	run 26	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_2.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	2	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_2.raw	HepG2
Sample 5	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	proteomic profiling by mass spectrometry	cell	run 27	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_3.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	3	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_3.raw	HepG2
Sample 5	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	proteomic profiling by mass spectrometry	cell	run 28	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_4.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	4	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_4.raw	HepG2
