Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[fraction identifier]
PXD024800-Sample-2	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 2	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F2.raw	1	2	TMT130	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	2
PXD024800-Sample-2	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 2	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F2.raw	1	2	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	2
PXD024800-Sample-3	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 3	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F3.raw	1	3	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	3
PXD024800-Sample-3	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 3	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F3.raw	1	3	TMT127	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	3
PXD024800-Sample-3	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 3	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F3.raw	1	3	TMT128	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	3
PXD024800-Sample-3	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 3	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F3.raw	1	3	TMT129	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	3
PXD024800-Sample-3	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 3	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F3.raw	1	3	TMT130	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	3
PXD024800-Sample-3	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 3	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F3.raw	1	3	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	3
PXD024800-Sample-4	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 4	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F4.raw	1	4	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	4
PXD024800-Sample-4	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 4	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F4.raw	1	4	TMT127	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	4
PXD024800-Sample-4	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 4	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F4.raw	1	4	TMT128	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	4
PXD024800-Sample-4	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 4	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F4.raw	1	4	TMT129	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	4
PXD024800-Sample-4	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 4	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F4.raw	1	4	TMT130	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	4
PXD024800-Sample-4	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 4	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F4.raw	1	4	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	4
PXD024800-Sample-5	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 5	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F5.raw	1	5	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	5
PXD024800-Sample-5	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 5	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F5.raw	1	5	TMT127	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	5
PXD024800-Sample-5	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 5	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F5.raw	1	5	TMT128	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	5
PXD024800-Sample-5	Homo sapiens	lung	not available	not available	not available	not available	not available	lung cancer	1	tissue	run 5	proteomic profiling by mass spectrometry	Animal_20190910_CF_HStmt_TS_px03_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD024800/Animal_20190910_CF_HStmt_TS_px03_F5.raw	1	5	TMT129	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;PP=STY;MT=Variable	NT=methylol;AC=UNIMOD:1875;PP=-CH2O;MT=Variable	NT=Dimethyl;AC=UNIMOD:330;PP=KR;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	5
