source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[spiked compound]	characteristics[biological replicate]	characteristics[nanoparticles]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[nanoparticles]	factor value[spiked compound]
PXD017052-Sample 4	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-373-003	run 11	proteomic profiling by mass spectrometer	EXP19002_X1942_A_MSB39152A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X1942_A_MSB39152A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-373-003	not applicable
PXD017052-Sample 4	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-373-003	run 12	proteomic profiling by mass spectrometer	EXP19002_X1943_A_MSB39153A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X1943_A_MSB39153A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-373-003	not applicable
PXD017052-Sample 5	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-390-001	run 13	proteomic profiling by mass spectrometer	EXP19002_X2061_A_MSB39196A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2061_A_MSB39196A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-390-001	not applicable
PXD017052-Sample 5	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-390-001	run 14	proteomic profiling by mass spectrometer	EXP19002_X2062_A_MSB39197A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2062_A_MSB39197A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-390-001	not applicable
PXD017052-Sample 5	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-390-001	run 15	proteomic profiling by mass spectrometer	EXP19002_X2063_A_MSB39198A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2063_A_MSB39198A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-390-001	not applicable
PXD017052-Sample 6	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-333-004	run 16	proteomic profiling by mass spectrometer	EXP19002_X2289_A_MSB39532A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2289_A_MSB39532A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-333-004	not applicable
PXD017052-Sample 6	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-333-004	run 17	proteomic profiling by mass spectrometer	EXP19002_X2290_A_MSB39533A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2290_A_MSB39533A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-333-004	not applicable
PXD017052-Sample 6	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-333-004	run 18	proteomic profiling by mass spectrometer	EXP19002_X2291_A_MSB39534A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2291_A_MSB39534A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-333-004	not applicable
PXD017052-Sample 7	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-347-004	run 19	proteomic profiling by mass spectrometer	EXP19002_X2316_A_MSB39559A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2316_A_MSB39559A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-347-004	not applicable
PXD017052-Sample 7	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-347-004	run 20	proteomic profiling by mass spectrometer	EXP19002_X2317_A_MSB39560A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2317_A_MSB39560A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-347-004	not applicable
PXD017052-Sample 7	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-347-004	run 21	proteomic profiling by mass spectrometer	EXP19002_X2318_A_MSB39561A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2318_A_MSB39561A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-347-004	not applicable
PXD017052-Sample 8	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-365-001	run 22	proteomic profiling by mass spectrometer	EXP19002_X2334_A_MSB39577A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2334_A_MSB39577A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-365-001	not applicable
PXD017052-Sample 8	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-365-001	run 23	proteomic profiling by mass spectrometer	EXP19002_X2335_A_MSB39578A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2335_A_MSB39578A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-365-001	not applicable
PXD017052-Sample 8	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-365-001	run 24	proteomic profiling by mass spectrometer	EXP19002_X2336_A_MSB39579A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2336_A_MSB39579A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-365-001	not applicable
PXD017052-Sample 9	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-406-001	run 25	proteomic profiling by mass spectrometer	EXP19002_X2532_A_MSB39965A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2532_A_MSB39965A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-406-001	not applicable
PXD017052-Sample 9	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-406-001	run 26	proteomic profiling by mass spectrometer	EXP19002_X2533_A_MSB39966A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2533_A_MSB39966A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-406-001	not applicable
PXD017052-Sample 9	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-406-001	run 27	proteomic profiling by mass spectrometer	EXP19002_X2534_A_MSB39967A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2534_A_MSB39967A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-406-001	not applicable
PXD017052-Sample 10	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-047-001	run 28	proteomic profiling by mass spectrometer	EXP19002_X2905_A_MSB40472A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2905_A_MSB40472A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-047-001	not applicable
PXD017052-Sample 10	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-047-001	run 29	proteomic profiling by mass spectrometer	EXP19002_X2906_A_MSB40473A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2906_A_MSB40473A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-047-001	not applicable
PXD017052-Sample 10	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-047-001	run 30	proteomic profiling by mass spectrometer	EXP19002_X2907_A_MSB40474A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2907_A_MSB40474A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-047-001	not applicable
PXD017052-Sample 11	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-064-003	run 31	proteomic profiling by mass spectrometer	EXP19002_X2923_A_MSB40490A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2923_A_MSB40490A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-064-003	not applicable
PXD017052-Sample 11	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-064-003	run 32	proteomic profiling by mass spectrometer	EXP19002_X2924_A_MSB40491A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2924_A_MSB40491A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-064-003	not applicable
PXD017052-Sample 11	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-064-003	run 33	proteomic profiling by mass spectrometer	EXP19002_X2925_A_MSB40492A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19002_X2925_A_MSB40492A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-064-003	not applicable
