source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	Material Type	characteristics[disease]	Technology type	characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[file uri]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	factor value[cell line]
PXD003668-Sample-11	Homo sapiens	not available	IOSE7576	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	2	run 11	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_IOSE7675_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130315_EXQ4_FaCo_SA_CL_IOSE7675_B.RAW	IOSE7576
PXD003668-Sample-12	Homo sapiens	not available	IOSE7576	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	3	run 12	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_IOSE7576_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130315_EXQ4_FaCo_SA_CL_IOSE7576_C.RAW	IOSE7576
PXD003668-Sample-13	Homo sapiens	not available	SKOV3IP1	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	1	run 13	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_A.RAW	SKOV3IP1
PXD003668-Sample-14	Homo sapiens	not available	SKOV3IP1	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	2	run 14	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_B.RAW	SKOV3IP1
PXD003668-Sample-15	Homo sapiens	not available	SKOV3IP1	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	3	run 15	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_C.RAW	SKOV3IP1
PXD003668-Sample-16	Homo sapiens	not available	A2780CP70	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	1	run 16	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780CP70_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130607_EXQ4_FaCo_SA_CL_A2780CP70_A.RAW	A2780CP70
PXD003668-Sample-17	Homo sapiens	not available	A2780CP70	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	2	run 17	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780CP70_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130607_EXQ4_FaCo_SA_CL_A2780CP70_B.RAW	A2780CP70
PXD003668-Sample-18	Homo sapiens	not available	A2780CP70	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	3	run 18	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780CP70_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130607_EXQ4_FaCo_SA_CL_A2780CP70_C.RAW	A2780CP70
PXD003668-Sample-19	Homo sapiens	not available	A2780	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	1	run 19	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780_A.raw	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130607_EXQ4_FaCo_SA_CL_A2780_A.raw	A2780
PXD003668-Sample-20	Homo sapiens	not available	A2780	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	2	run 20	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780_B.raw	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130607_EXQ4_FaCo_SA_CL_A2780_B.raw	A2780
PXD003668-Sample-21	Homo sapiens	not available	A2780	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	3	run 21	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130619_EXQ4_FaCo_SA_CL_A2780_C.raw	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130619_EXQ4_FaCo_SA_CL_A2780_C.raw	A2780
PXD003668-Sample-22	Homo sapiens	not available	IOSE397	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	1	run 22	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130809_EXQ3_FaCo_SA_CL_IOSE397_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130809_EXQ3_FaCo_SA_CL_IOSE397_A.RAW	IOSE397
PXD003668-Sample-23	Homo sapiens	not available	IOSE397	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	2	run 23	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130809_EXQ3_FaCo_SA_CL_IOSE397_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20130809_EXQ3_FaCo_SA_CL_IOSE397_B.RAW	IOSE397
PXD003668-Sample-24	Homo sapiens	not available	IOSE397	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	3	run 24	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20140115_EXQ6_FaCo_SA_CL_IOSE397_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20140115_EXQ6_FaCo_SA_CL_IOSE397_C.RAW	IOSE397
PXD003668-Sample-25	Homo sapiens	not available	ME180C13	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	1	run 25	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131018_EXQ3_FaCo_SA_CL_ME180C13_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20131018_EXQ3_FaCo_SA_CL_ME180C13_A.RAW	ME180C13
PXD003668-Sample-26	Homo sapiens	not available	ME180C13	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	2	run 26	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131018_EXQ3_FaCo_SA_CL_ME180C13_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20131018_EXQ3_FaCo_SA_CL_ME180C13_B.RAW	ME180C13
PXD003668-Sample-27	Homo sapiens	not available	ME180C13	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	3	run 27	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131018_EXQ3_FaCo_SA_CL_ME180C13_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20131018_EXQ3_FaCo_SA_CL_ME180C13_C.RAW	ME180C13
PXD003668-Sample-28	Homo sapiens	not available	TOV112D	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	1	run 28	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131018_EXQ3_FaCo_SA_CL_TOV112D_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20131018_EXQ3_FaCo_SA_CL_TOV112D_A.RAW	TOV112D
PXD003668-Sample-29	Homo sapiens	not available	TOV112D	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	2	run 29	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131018_EXQ3_FaCo_SA_CL_TOV112D_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20131018_EXQ3_FaCo_SA_CL_TOV112D_B.RAW	TOV112D
PXD003668-Sample-30	Homo sapiens	not available	TOV112D	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	3	run 30	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131025_EXQ3_FaCo_SA_CL_TOV112D_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20131025_EXQ3_FaCo_SA_CL_TOV112D_C.RAW	TOV112D
PXD003668-Sample-31	Homo sapiens	not available	ME180	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	1	run 31	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131021_EXQ3_FaCo_SA_CL_ME180_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20131021_EXQ3_FaCo_SA_CL_ME180_A.RAW	ME180
PXD003668-Sample-32	Homo sapiens	not available	ME180	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	2	run 32	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131021_EXQ3_FaCo_SA_CL_ME180_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20131021_EXQ3_FaCo_SA_CL_ME180_B.RAW	ME180
PXD003668-Sample-33	Homo sapiens	not available	ME180	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	3	run 33	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131021_EXQ3_FaCo_SA_CL_ME180_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20131021_EXQ3_FaCo_SA_CL_ME180_C.RAW	ME180
PXD003668-Sample-34	Homo sapiens	not available	IGROV1CP	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	1	run 34	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131025_EXQ3_FaCo_SA_CL_IGROV1CP_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20131025_EXQ3_FaCo_SA_CL_IGROV1CP_A.RAW	IGROV1CP
PXD003668-Sample-35	Homo sapiens	not available	IGROV1CP	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	2	run 35	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131025_EXQ3_FaCo_SA_CL_IGROV1CP_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20131025_EXQ3_FaCo_SA_CL_IGROV1CP_B.RAW	IGROV1CP
PXD003668-Sample-36	Homo sapiens	not available	IGROV1CP	not available	not available	not available	not available	not available	cell	not available	proteomic profiling by mass spectrometry	3	run 36	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131025_EXQ3_FaCo_SA_CL_IGROV1CP_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	60 ppm	0.05 Da	20131025_EXQ3_FaCo_SA_CL_IGROV1CP_C.RAW	IGROV1CP
