source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[MS2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameter]	comment[modification parameter]	comment[modification parameter]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD020727-Sample-11	Homo sapiens	blood plasma	5	not applicable	not available	not available	not available	not available	normal	depleted	5	not applicable	ATP_5	proteomic profiling by mass spectrometry	ATP_5.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/ATP_5.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	5	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-12	Homo sapiens	blood plasma	6	not applicable	not available	not available	not available	not available	normal	depleted	6	not applicable	ATP_6	proteomic profiling by mass spectrometry	ATP_6.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/ATP_6.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	6	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-13	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	normal	depleted	1	not applicable	MARS14_1	proteomic profiling by mass spectrometry	MARS14_1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/MARS14_1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-14	Homo sapiens	blood plasma	2	not applicable	not available	not available	not available	not available	normal	depleted	2	not applicable	MARS14_2	proteomic profiling by mass spectrometry	MARS14_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/MARS14_2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-15	Homo sapiens	blood plasma	3	not applicable	not available	not available	not available	not available	normal	depleted	3	not applicable	MARS14_3	proteomic profiling by mass spectrometry	MARS14_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/MARS14_3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-16	Homo sapiens	blood plasma	4	not applicable	not available	not available	not available	not available	normal	depleted	4	not applicable	MARS14_4	proteomic profiling by mass spectrometry	MARS14_4.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/MARS14_4.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	4	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-17	Homo sapiens	blood plasma	5	not applicable	not available	not available	not available	not available	normal	depleted	5	not applicable	MARS14_5	proteomic profiling by mass spectrometry	MARS14_5.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/MARS14_5.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	5	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-18	Homo sapiens	blood plasma	6	not applicable	not available	not available	not available	not available	normal	depleted	6	not applicable	MARS14_6	proteomic profiling by mass spectrometry	MARS14_6.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/MARS14_6.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	6	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-19	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	normal	depleted	1	not applicable	PlasmaCtrl_1	proteomic profiling by mass spectrometry	PlasmaCtrl_1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/PlasmaCtrl_1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-20	Homo sapiens	blood plasma	2	not applicable	not available	not available	not available	not available	normal	depleted	2	not applicable	PlasmaCtrl_2	proteomic profiling by mass spectrometry	PlasmaCtrl_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/PlasmaCtrl_2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-21	Homo sapiens	blood plasma	3	not applicable	not available	not available	not available	not available	normal	depleted	3	not applicable	PlasmaCtrl_3	proteomic profiling by mass spectrometry	PlasmaCtrl_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/PlasmaCtrl_3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-22	Homo sapiens	blood plasma	4	not applicable	not available	not available	not available	not available	normal	depleted	4	not applicable	PlasmaCtrl_4	proteomic profiling by mass spectrometry	PlasmaCtrl_4.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/PlasmaCtrl_4.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	4	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-23	Homo sapiens	blood plasma	5	not applicable	not available	not available	not available	not available	normal	depleted	5	not applicable	PlasmaCtrl_5	proteomic profiling by mass spectrometry	PlasmaCtrl_5.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/PlasmaCtrl_5.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	5	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-24	Homo sapiens	blood plasma	6	not applicable	not available	not available	not available	not available	normal	depleted	6	not applicable	PlasmaCtrl_6	proteomic profiling by mass spectrometry	PlasmaCtrl_6.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/PlasmaCtrl_6.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	6	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-25	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	normal	depleted	1	not applicable	cAMP_1	proteomic profiling by mass spectrometry	cAMP_1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/cAMP_1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-26	Homo sapiens	blood plasma	2	not applicable	not available	not available	not available	not available	normal	depleted	2	not applicable	cAMP_2	proteomic profiling by mass spectrometry	cAMP_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/cAMP_2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-27	Homo sapiens	blood plasma	3	not applicable	not available	not available	not available	not available	normal	depleted	3	not applicable	cAMP_3	proteomic profiling by mass spectrometry	cAMP_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/cAMP_3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-28	Homo sapiens	blood plasma	4	not applicable	not available	not available	not available	not available	normal	depleted	4	not applicable	cAMP_4	proteomic profiling by mass spectrometry	cAMP_4.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/cAMP_4.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	4	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-29	Homo sapiens	blood plasma	5	not applicable	not available	not available	not available	not available	normal	depleted	5	not applicable	cAMP_5	proteomic profiling by mass spectrometry	cAMP_5.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/cAMP_5.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	5	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
