source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[biological replicate]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD022011-Sample-11	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 11	proteomic profiling by mass spectrometry	qExHF01_09195.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09195.raw	11	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-12	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 12	proteomic profiling by mass spectrometry	qExHF01_09196.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09196.raw	12	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-13	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 13	proteomic profiling by mass spectrometry	qExHF01_09197.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09197.raw	13	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-14	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 14	proteomic profiling by mass spectrometry	qExHF01_09198.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09198.raw	14	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-15	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 15	proteomic profiling by mass spectrometry	qExHF01_09199.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09199.raw	15	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-16	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 16	proteomic profiling by mass spectrometry	qExHF01_09200.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09200.raw	16	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-17	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 17	proteomic profiling by mass spectrometry	qExHF01_09201.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09201.raw	17	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-18	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 18	proteomic profiling by mass spectrometry	qExHF01_09202.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09202.raw	18	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-19	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 19	proteomic profiling by mass spectrometry	qExHF01_09203.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09203.raw	19	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-20	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 20	proteomic profiling by mass spectrometry	qExHF01_09204.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09204.raw	20	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-21	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 21	proteomic profiling by mass spectrometry	qExHF01_09206.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09206.raw	21	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-22	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 22	proteomic profiling by mass spectrometry	qExHF01_09207.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09207.raw	22	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-23	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 23	proteomic profiling by mass spectrometry	qExHF01_09208.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09208.raw	23	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-24	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 24	proteomic profiling by mass spectrometry	qExHF01_09209.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09209.raw	24	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-25	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 25	proteomic profiling by mass spectrometry	qExHF01_09210.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09210.raw	25	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-26	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 26	proteomic profiling by mass spectrometry	qExHF01_09211.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09211.raw	26	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-27	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 27	proteomic profiling by mass spectrometry	qExHF01_09212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09212.raw	27	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-28	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 28	proteomic profiling by mass spectrometry	qExHF01_09213.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09213.raw	28	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-29	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 29	proteomic profiling by mass spectrometry	qExHF01_09214.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09214.raw	29	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
PXD022011-Sample-30	Homo sapiens	blood	not available	NT=platelet;AC=CL:0000233	not available	20Y-45Y	not available	not available	normal	no depletion	1	run 30	proteomic profiling by mass spectrometry	qExHF01_09215.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09215.raw	30	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	AC=MS:1002523 ;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	27 NCE	10 ppm	0.02 ppm	NT=platelet;AC=CL:0000233
